scenario,seed,humanRequests,humanContacts,chatbot,noResponse
No chatbot,51,56.88712083540527,35.55445052212829,0,64.44554947787171
No chatbot,52,54.340190667335676,34.470647265429,0,65.52935273457099
No chatbot,53,54.742684157416754,34.914228052472254,0,65.08577194752775
No chatbot,54,55.438066465256796,35.146022155085596,0,64.8539778449144
No chatbot,55,51.64718384697131,34.85653560042508,0,65.14346439957492
No chatbot,56,55.30222693531283,36.05514316012725,0,63.94485683987275
No chatbot,57,56.76340383669454,37.23561239547467,0,62.76438760452533
No chatbot,58,56.27169062964799,38.07635101636093,0,61.92364898363907
No chatbot,59,51.97537198563366,33.35043612108774,0,66.64956387891226
No chatbot,60,54.42913385826772,36.41732283464567,0,63.58267716535433
No chatbot,61,56.57349896480331,36.594202898550726,0,63.405797101449274
No chatbot,62,54.1988416988417,36.34169884169884,0,63.65830115830116
No chatbot,63,54.4539506794162,34.97735279315551,0,65.0226472068445
No chatbot,64,54.78128179043744,37.43641912512716,0,62.56358087487284
No chatbot,65,51.66487647690655,33.566058002148225,0,66.43394199785178
No chatbot,66,54.06569736133549,35.00269251480883,0,64.99730748519117
No chatbot,67,53.475103734439834,33.29875518672199,0,66.70124481327801
No chatbot,68,54.68975468975469,35.01683501683502,0,64.98316498316498
No chatbot,69,56.231884057971016,36.95652173913044,0,63.04347826086956
No chatbot,70,55.96043727225403,38.20926600728787,0,61.79073399271213
No chatbot,71,55.6936847339632,37.941322725012434,0,62.058677274987566
No chatbot,72,54.67880627212949,35.609509357612545,0,64.39049064238746
No chatbot,73,58.56493178372916,38.65588681152097,0,61.34411318847903
No chatbot,74,53.753609239653514,34.8893166506256,0,65.1106833493744
No chatbot,75,55.278884462151396,35.70717131474104,0,64.29282868525897
No chatbot,76,52.87907869481766,34.59692898272553,0,65.40307101727447
No chatbot,77,54.974619289340104,37.30964467005076,0,62.69035532994924
No chatbot,78,53.63070539419087,35.788381742738586,0,64.2116182572614
No chatbot,79,52.917093142272265,34.13510747185261,0,65.8648925281474
No chatbot,80,54.379746835443036,35.392405063291136,0,64.60759493670886
Substitution,1,28.762006403415153,17.876200640341516,49.19957310565635,32.924226254002136
Substitution,2,27.56253065228053,17.85188818048063,52.82000980872977,29.328102010789603
Substitution,3,29.397590361445783,19.373493975903614,49.493975903614455,31.132530120481928
Substitution,4,31.803123521060105,21.438712730714624,45.57501183151917,32.98627543776621
Substitution,5,24.976076555023923,16.028708133971293,49.71291866028708,34.25837320574163
Substitution,6,28.8,20.2,48.45,31.35
Substitution,7,27.254997562164796,18.77133105802048,49.098000975134084,32.130667966845444
Substitution,8,28.309785452642597,19.361590790162218,50.86342229199372,29.77498691784406
Substitution,9,28.86396879570941,19.795221843003414,49.73183812774256,30.472940029254023
Substitution,10,29.097510373443985,18.775933609958507,50.10373443983403,31.12033195020747
Substitution,11,25.08816120906801,15.768261964735517,54.86146095717884,29.370277078085643
Substitution,12,25.07820646506778,15.954118873826904,55.47445255474452,28.571428571428573
Substitution,13,29.41793392763503,19.874147876245413,47.56161510225485,32.564237021499736
Substitution,14,27.961630695443645,17.362110311750598,51.223021582733814,31.414868105515588
Substitution,15,30.381535562882714,19.218087611869997,48.469147432878,32.312764955252
Substitution,16,30.926829268292682,19.951219512195124,45.02439024390244,35.02439024390244
Substitution,17,26.7578125,17.3828125,49.755859375,32.861328125
Substitution,18,31.512392513909965,20.58674759736975,41.88163884673748,37.53161355589277
Substitution,19,30.054374691052892,19.476025704399408,48.04745427582798,32.476520019772614
Substitution,20,34.05909797822706,23.431829963711767,42.560912389839295,34.007257646448934
Substitution,21,27.043090638930163,16.889549281822685,52.25359088657751,30.856859831599802
Substitution,22,27.81316348195329,17.993630573248407,51.7515923566879,30.254777070063696
Substitution,23,27.87051087506323,19.11987860394537,47.749114820435004,33.13100657561962
Substitution,24,29.123837493881545,18.60009789525208,50.073421439060205,31.326480665687715
Substitution,25,29.458917835671343,18.537074148296593,45.99198396793587,35.47094188376754
Substitution,26,28.59244727807749,18.881804806277586,49.1417361451692,31.976459048553213
Substitution,27,27.301420305102578,17.04366123093109,48.97422409258285,33.98211467648606
Substitution,28,27.093844601412716,17.709384460141273,53.63269424823411,28.65792129162462
Substitution,29,28.790052606408416,18.603538976566238,50.83692013390722,30.55954088952654
Substitution,30,31.14503816793893,19.89821882951654,46.56488549618321,33.536895674300254
Substitution,31,28.95401718039414,18.64578069732188,49.72208185952501,31.63213744315311
Substitution,32,30.265848670756647,19.989775051124745,46.830265848670756,33.1799591002045
Substitution,33,29.121951219512194,19.902439024390244,49.609756097560975,30.48780487804878
Substitution,34,30.765617660873648,19.586660403945515,46.73555659934242,33.67778299671207
Substitution,35,28.80761523046092,18.336673346693388,48.84769539078156,32.81563126252505
Substitution,36,28.55058365758755,18.579766536964982,48.054474708171206,33.36575875486381
Substitution,37,27.479338842975206,17.200413223140497,50.3099173553719,32.489669421487605
Substitution,38,28.90899949723479,19.054801407742584,48.81850175967823,32.126696832579185
Substitution,39,29.025844930417495,18.190854870775347,49.2544731610338,32.55467196819085
Substitution,40,28.98842476094615,17.966784096628082,51.63563160543533,30.39758429793659
Substitution,41,30.153237765694513,19.72318339100346,47.94859120118636,32.32822540781018
Substitution,42,26.73469387755102,18.418367346938776,53.826530612244895,27.755102040816325
Substitution,43,28.530397319291527,18.382000957395885,50.93346098611776,30.684538056486357
Substitution,44,29.872122762148337,20.562659846547316,45.626598465473144,33.81074168797954
Substitution,45,26.73716012084592,17.119838872104733,53.82678751258812,29.05337361530715
Substitution,46,30.156402737047898,20.13685239491691,47.898338220918866,31.964809384164223
Substitution,47,28.182751540041068,17.145790554414784,48.97330595482546,33.880903490759756
Substitution,48,31.55778894472362,20.502512562814072,46.130653266331656,33.36683417085427
Substitution,49,29.622166246851386,19.848866498740556,49.1183879093199,31.03274559193955
Substitution,50,26.739356178608514,17.133956386292834,52.18068535825545,30.685358255451714
Substitution,51,27.498756837394332,17.155643958229735,53.75435106911984,29.090004972650423
Substitution,52,29.001505268439537,18.063221274460613,49.8745609633718,32.062217762167585
Substitution,53,29.51564076690212,18.920282542885975,46.82139253279516,34.25832492431887
Substitution,54,29.355488418932527,18.37865055387714,48.086606243705944,33.53474320241692
Substitution,55,27.20510095642933,17.747077577045697,47.44952178533475,34.80340063761955
Substitution,56,26.98833510074231,17.497348886532343,53.60551431601272,28.89713679745493
Substitution,57,25.28283325135268,16.42892277422528,56.02557796360059,27.545499262174125
Substitution,58,29.697570649479424,19.881011403073874,48.686167575607335,31.43282102131879
Substitution,59,27.80913288866085,16.98306824012314,49.512570548999484,33.50436121087737
Substitution,60,28.78937007874016,18.700787401574804,48.96653543307087,32.33267716535433
Substitution,61,29.347826086956523,19.565217391304348,49.22360248447205,31.211180124223603
Substitution,62,29.005791505791507,19.73938223938224,48.938223938223935,31.322393822393824
Substitution,63,27.730246602918974,17.262204328132864,50.931051836940114,31.806743834927026
Substitution,64,29.7558494404883,19.837232960325533,46.03255340793489,34.13021363173957
Substitution,65,27.712137486573578,17.937701396348015,50.32223415682062,31.740064446831365
Substitution,66,25.255788906838987,17.016693591814754,53.9041464728056,29.079159935379643
Substitution,67,27.38589211618257,17.064315352697097,50.155601659751035,32.780082987551864
Substitution,68,30.92833092833093,19.913419913419915,44.733044733044736,35.35353535353536
Substitution,69,29.130434782608695,18.792270531400966,50.628019323671495,30.579710144927535
Substitution,70,31.23373243102551,21.5512753774076,45.965642894325875,32.48308172826653
Substitution,71,28.294380905022376,19.44306315266037,50.919940328194926,29.636996519144706
Substitution,72,26.757713707637834,17.400101163378856,50.78401618614062,31.815882650480525
Substitution,73,31.02577059120768,20.616472966144517,48.76200101061142,30.621526023244062
Substitution,74,28.825794032723774,18.67179980750722,49.37439846005775,31.953801732435032
Substitution,75,28.834661354581673,18.52589641434263,51.19521912350598,30.278884462151396
Substitution,76,25.959692898272554,16.554702495201536,54.174664107485604,29.27063339731286
Substitution,77,27.715736040609137,18.223350253807105,50.86294416243655,30.913705583756347
Substitution,78,26.244813278008298,17.634854771784234,53.89004149377593,28.475103734439834
Substitution,79,28.198567041965198,18.167860798362334,47.59467758444217,34.2374616171955
Substitution,80,28.40506329113924,18.632911392405063,49.31645569620253,32.050632911392405
